Subject,Endpoint Name,Description,Request Parameters,Response Structure,Sample Response,Category,Method Type,Error
GetDepartmentCodes,GetDepartmentCodes,Gets the accounting departments for a dealership.,"Name: companyId, Type: integer, Description: ID of the company/dealership, Required/Optional: Required","Collection of Department objects. Each Department object has: DepartmentCode (string), Description (string), Placement (CompanyPlacement object). The CompanyPlacement object has: CompanyId (integer), CompanyName (string), SourceId (integer), DealerId (integer), EnvironmentId (integer), EnvironmentType (DataEnvironmentType enum), GroupId (integer), GroupName (string). The DataEnvironmentType enum has possible values: Undefined (0), Production (1), Testing (2), Staging (3).",Not available,Accounting,POST,
GetDivisions,GetDivisions,Gets the divisions of a company. Most dealers don't use divisional accounting.,companyId: integer (Required),"Collection of Division
DivisionNumber: integer
Description: string
RetainedEarningsDivision: integer
BalanceSheetDivision: integer
Placement: CompanyPlacement",Not available,Accounting,POST,
PullChart,PullChart,Pulls the chart of accounts.,"AccountClassGroup: AccountClassGroupType, AccountClasses: Collection of AccountClassType, Accounts: Collection of string, OmitAccountsWithNoActivity: boolean, CompanyIds: Collection of integer (Required)","Collection of ChartEntry (AccountNumber: string, AccountDescription: string, AccountDescriptionAbbreviated: string, IsActive: boolean, AccountClass: AccountClassType, DepartmentCode: string, ScheduleCode: string, ScheduleClass: ScheduleClassType, Control1Type: ControlTypeEnum, Control2Type: ControlTypeEnum, ScheduleStartDate: date, ForwardType: AccountingForwardType, ScheduleType: AccountingForwardType, ChainAccountNumber: string, SpreadAccountNumbers: Collection of string, FactoryAccountNumbers: Collection of FactoryAccountNumbersType, Placement: CompanyPlacement)",Sample not available.,Accounting,POST,
PullChecks,PullChecks,Pulls checks written.,"MaxElapsedSinceUpdate: time interval (Optional), CheckNumbers: Collection of string (Optional), CompanyIds: Collection of integer (Required)","CheckNumber: string, CustomerKey: string, CustomerId: string, CustomerName: string, CheckDate: date, Amount: float, Payee: string, Placement: string","<CheckSearchCriteria xmlns:i=""http://www.w3.org/2001/XMLSchema-instance"" xmlns=""http://schemas.datacontract.org/2004/07/DealerBuilt.BaseApi"">
  <CompanyIds xmlns:d2p1=""http://schemas.microsoft.com/2003/10/Serialization/Arrays"">
    <d2p1:long>1</d2p1:long>
    <d2p1:long>2</d2p1:long>
  </CompanyIds>
  <CheckNumbers xmlns:d2p1=""http://schemas.microsoft.com/2003/10/Serialization/Arrays"">
    <d2p1:string>sample string 1</d2p1:string>
    <d2p1:string>sample string 2</d2p1:string>
  </CheckNumbers>
  <MaxElapsedSinceUpdate>PT0.1234567S</MaxElapsedSinceUpdate>
</CheckSearchCriteria>

Sample Response: Not available.",Accounting,POST,
PullGlDetail,PullGlDetail,Pulls a schedule by date range.,"StartDate: date (Required), EndDate: date, AccountClassGroup: AccountClassGroupType, AccountClasses: Collection of AccountClassType, Accounts: Collection of string, OmitAccountsWithNoActivity: boolean, CompanyIds: Collection of integer (Required)","Collection of GlDetailItem: Account: string, AccountDescription: string, AccountDescriptionAbbreviated: string, AccountClass: AccountClassType, BalanceForward: MonetaryValue, TotalDebits: MonetaryValue, TotalCredits: MonetaryValue, TotalMonthToDate: MonetaryValue, TotalYearToDate: MonetaryValue, TotalUnitCount: integer, Lines: Collection of GlDetailLine, Placement: CompanyPlacement","<GlDetailSearchCriteria xmlns:i=""http://www.w3.org/2001/XMLSchema-instance"" xmlns=""http://schemas.datacontract.org/2004/07/DealerBuilt.BaseApi"">
      <CompanyIds xmlns:d2p1=""http://schemas.microsoft.com/2003/10/Serialization/Arrays"">
        <d2p1:long>1</d2p1:long>
        <d2p1:long>2</d2p1:long>
      </CompanyIds>
      <AccountClassGroup>AllAccounts</AccountClassGroup>
      <AccountClasses xmlns:d2p1=""http://schemas.datacontract.org/2004/07/DealerBuilt.Models.Accounting"">
        <d2p1:AccountClassType>Unknown</d2p1:AccountClassType>
        <d2p1:AccountClassType>Unknown</d2p1:AccountClassType>
      </AccountClasses>
      <Accounts xmlns:d2p1=""http://schemas.microsoft.com/2003/10/Serialization/Arrays"">
        <d2p1:string>sample string 1</d2p1:string>
        <d2p1:string>sample string 2</d2p1:string>
      </Accounts>
      <OmitAccountsWithNoActivity>true</OmitAccountsWithNoActivity>
      <EndDate>2025-08-20T08:17:31.9409914Z</EndDate>
      <StartDate>2025-08-20T08:17:31.9409914Z</StartDate>
    </GlDetailSearchCriteria>",Accounting,POST,
PullGlLines,PullGlLines,Pulls general ledger records.,"Name: MinimumAccountingDate, Type: string
Name: MaximumAccountingDate, Type: string
Name: MinimumUpdateStamp, Type: string
Name: MaximumUpdateStamp, Type: string
Name: MinimumCreatedStamp, Type: string
Name: MaximumCreatedStamp, Type: string
Name: MaxElapsedSinceUpdate, Type: time interval
Name: VoidStatuses, Type: Collection of VoidStatusType
Name: ReconciledScope, Type: ReconciledScopeType
Name: ZeroDateScope, Type: ZeroDateScopeType
Name: IncludeBalanceForwardRecords, Type: boolean
Name: Divisions, Type: Collection of integer
Name: AccountClassGroup, Type: AccountClassGroupType
Name: AccountClasses, Type: Collection of AccountClassType
Name: Accounts, Type: Collection of string
Name: OmitAccountsWithNoActivity, Type: boolean
Name: CompanyIds, Type: Collection of integer, Required","Name: Account, Type: string
Name: AccountDescription, Type: string
Name: AccountDescriptionAbbreviated, Type: string
Name: AccountClass, Type: AccountClassType
Name: LineId, Type: integer
Name: ModifiedStamp, Type: date
Name: CreatedStamp, Type: date
Name: LineDescription, Type: string
Name: Division, Type: integer
Name: GlHeaderDescription, Type: string
Name: AccountingDate, Type: date
Name: Journal, Type: string
Name: JournalType, Type: JournalTypeEnum
Name: JournalDescription, Type: string
Name: Reference, Type: string
Name: GlVouch, Type: string
Name: Amount, Type: MonetaryValue
Name: Control1Code, Type: string
Name: Control2Code, Type: string
Name: UnitCount, Type: integer
Name: IsReconciled, Type: boolean
Name: IsClearedBank, Type: boolean
Name: DateReconciledOnBankRecord, Type: date
Name: ZeroDate, Type: date
Name: VoidStatus, Type: VoidStatusType
Name: Placement, Type: CompanyPlacement",Sample not available.,Accounting,POST,
PullGlSummary,PullGlSummary,Pulls a trend report of month-to-date and year-to-date totals by account.,"StartMonth (integer), StartYear (integer), EndMonth (integer), EndYear (integer), RollUpSpreadAccounts (boolean), IncludeFuturePostedActivity (boolean), Divisions (Collection of integer), AccountClassGroup (AccountClassGroupType), AccountClasses (Collection of AccountClassType), Accounts (Collection of string), OmitAccountsWithNoActivity (boolean), CompanyIds (Collection of integer, Required)","Collection of GlSummaryItem: Account (string), AccountDescription (string), AccountDescriptionAbbreviated (string), AccountClass (AccountClassType), FromDate (date), ToDate (date), MonthToDate (MonetaryValue), YearToDate (MonetaryValue), UnitsMonthToDate (integer), UnitsYearToDate (integer), MonthlyTotals (Collection of GlMonthlySummary), Placement (CompanyPlacement)",Not available,Accounting,POST,
PullPurchaseOrders,PullPurchaseOrders,Pulls purchase orders.,MaxElapsedSinceUpdate: time interval; PurchaseOrderNumbers: Collection of string; CompanyIds: Collection of integer (Required),"Collection of PurchaseOrder: PurchaseOrderNumber (string), VendorName (string), VendorId (string), PurchaseOrderDate (date), Amount (MonetaryValue), InvoiceNumbers (Collection of string), Placement (CompanyPlacement)",Not available,Accounting,POST,
PullReceipts,PullReceipts,Pulls receipts.,"Name: MaxElapsedSinceUpdate, Type: time interval, Description: (None), Additional information: (None)
Name: ReceiptNumbers, Type: Collection of string, Description: (None), Additional information: (None)
Name: CompanyIds, Type: Collection of integer, Description: (None), Additional information: Required","Name: ReceiptNumber, Type: string, Description: (None), Additional information: (None)
Name: CustomerKey, Type: string, Description: (None), Additional information: (None)
Name: CustomerId, Type: string, Description: (None), Additional information: (None)
Name: ReceiptDate, Type: date, Description: (None), Additional information: (None)
Name: Amount, Type: MonetaryValue, Description: (None), Additional information: (None)
Name: Comments, Type: string, Description: (None), Additional information: (None)
Name: DealNumber, Type: integer, Description: (None), Additional information: (None)
Name: Placement, Type: CompanyPlacement, Description: (None), Additional information: (None)",Not available.,Sales,POST,
PushGeneralJournalAccounting,PushGeneralJournalAccounting,Push entries to the general accounting journal.,"StoreId (integer), OperationCode (boolean), IsWarrantyPayment (boolean), Element (AccountingTransactionPushRequest - complex object with multiple fields like AccountingDate, Balance, DealNumber, DealerID, Description, Division, DocumentDate, FieldCode, GLEntryDate, GLVouch, GroupDescription, GroupUnique, GroupUserID, Journal, LineItems (array of AccountingTransactionLineItem), LocationID, ModifiedBy, OmnisName, PaymentAmount, Period, PostTime, Posted, RefJrnl, Reference, ReferenceDate, SourceLocationID, TransType1, UserCode, UserName, factory, windowCode. AccountingTransactionLineItem has fields like Account, AccountingDate, Amount, ClaimGasIndicator, ClaimType, Company, Control, Control2, Description, GLVouch, GroupUnique, Journal, LineNumber, Period, Reference, ScheduleCode, UnitCount, VIN).","TransactionNumber (string), PushedRecordId (integer), PushResult (PushResult - complex object), Message (string), ExternalRecordId (string).","<AccountingTransactionPushResponse xmlns:i=""http://www.w3.org/2001/XMLSchema-instance"" xmlns=""http://schemas.datacontract.org/2004/07/DealerBuilt.Models.Accounting"">
      <ExternalRecordId xmlns=""http://schemas.datacontract.org/2004/07/DealerBuilt.Models"">sample string 4</ExternalRecordId>
      <Message xmlns=""http://schemas.datacontract.org/2004/07/DealerBuilt.Models"">sample string 3</Message>
      <PushResult xmlns=""http://schemas.datacontract.org/2004/07/DealerBuilt.Models"">Unprocessed</PushResult>
      <PushedRecordId xmlns=""http://schemas.datacontract.org/2004/07/DealerBuilt.Models"">2</PushedRecordId>
      <TransactionNumber>sample string 1</TransactionNumber>
    </AccountingTransactionPushResponse>",Accounting,POST,
PullCustomerByKey,PullCustomerByKey,Retrieves customer information by key.,"customerKey (string, required)",Customer (object) - details not available from WSDL,Not available,Customer,POST,
PullCustomerKeys,PullCustomerKeys,Pulls API CustomerKeys matching a search.,"- ActivityStoreIds: Collection of integer
- PartialName: string
- Phone: string
- DriverLicenseNumber: string
- CustomerNumber: string
- MaximumUpdateStamp: date
- MinimumUpdateStamp: date
- SourceIds: Collection of integer (Required)
- MaxElapsedSinceUpdate: time interval (Filter records that have been created or modified between the difference of now and this. PullRepairOrders Notice: The length of time allowed is limited to 32 days.)
- ChangedPeriodStart: date (Filter records that have been created or modified starting with this. Note: ChangedPeriodStart is not used by PullRepairOrders)
- ChangedPeriodEnd: date (Filter records that have been created or modified ending with this. Note: ChangedPeriodEnd is not used by PullRepairOrders)
- SuppressErrors: boolean (If an error occurs in a multi-dealer pull, continue pulling from other dealers instead of failing the whole request.)","Collection of CustomerSummary
- CustomerKey: string
- ModifiedStamp: date
- Placement: SourcePlacement
  - GroupId: int
  - GroupName: string","<ArrayOfCustomerSummary xmlns:i=""http://www.w3.org/2001/XMLSchema-instance"" xmlns=""http://schemas.datacontract.org/2004/07/DealerBuilt.BaseApi"">
  <CustomerSummary>
    <CustomerKey>string</CustomerKey>
    <ModifiedStamp>date</ModifiedStamp>
    <Placement>
      <GroupId>int</GroupId>
      <GroupName>string</GroupName>
    </Placement>
  </CustomerSummary>
</ArrayOfCustomerSummary>",Customer,POST,
